"id";"id_evento";"id_cadastro"
"19";"1";"280375"
"56";"1";"330658"
"157";"1";"330699"
"72";"1";"389571"
"138";"1";"448563"
"63";"1";"451766"
"177";"1";"455935"
"47";"1";"472964"
"150";"1";"572402"
"32";"1";"668611"
"223";"1";"722349"
"64";"1";"728211"
"75";"1";"728218"
"89";"1";"728675"
"31";"1";"729990"
"152";"1";"758528"
"116";"1";"763508"
"193";"1";"799394"
"29";"1";"811315"
"23";"1";"817271"
"51";"1";"823099"
"149";"1";"823612"
"59";"1";"827661"
"50";"1";"959525"
"60";"1";"970141"
"26";"1";"970171"
"79";"1";"979323"
"20";"1";"979343"
"30";"1";"979479"
"44";"1";"979583"
"91";"1";"983120"
"37";"1";"985555"
"226";"1";"997136"
"146";"1";"1008681"
"22";"1";"1023659"
"181";"1";"1068156"
"112";"1";"1077092"
"34";"1";"1086938"
"163";"1";"1087954"
"90";"1";"1125444"
"111";"1";"1125448"
"96";"1";"1134122"
"100";"1";"1134128"
"161";"1";"1299945"
"18";"1";"1303904"
"55";"1";"1318536"
"76";"1";"1344027"
"85";"1";"1362635"
"21";"1";"1363755"
"48";"1";"1389995"
"190";"1";"1417381"
"225";"1";"1426303"
"54";"1";"1426789"
"57";"1";"1426973"
"210";"1";"1447391"
"215";"1";"1452539"
"28";"1";"1473577"
"194";"1";"1492073"
"107";"1";"1555336"
"39";"1";"1555832"
"179";"1";"1647711"
"77";"1";"1647713"
"33";"1";"1648230"
"155";"1";"1648272"
"145";"1";"1746913"
"67";"1";"1746918"
"69";"1";"1746938"
"167";"1";"1746975"
"118";"1";"1756939"
"103";"1";"1764275"
"208";"1";"1783824"
"209";"1";"1795869"
"104";"1";"1796212"
"105";"1";"1804004"
"43";"1";"1809305"
"17";"1";"1810564"
"70";"1";"1815954"
"74";"1";"1815957"
"46";"1";"1846874"
"154";"1";"1855807"
"53";"1";"1940517"
"35";"1";"1940647"
"40";"1";"1940745"
"52";"1";"1944847"
"216";"1";"1965125"
"24";"1";"1994955"
"114";"1";"2011939"
"98";"1";"2064271"
"192";"1";"2128202"
"68";"1";"2145719"
"95";"1";"2154431"
"93";"1";"2162119"
"42";"1";"2168158"
"73";"1";"2168254"
"159";"1";"2168255"
"66";"1";"2186913"
"101";"1";"2264405"
"191";"1";"2264795"
"25";"1";"2264852"
"97";"1";"2264853"
"27";"1";"2287553"
"207";"1";"2313020"
"81";"1";"2338007"
"117";"1";"2350389"
"115";"1";"2351173"
"168";"1";"2378513"
"156";"1";"2395421"
"162";"1";"2458360"
"164";"1";"2458372"
"221";"1";"2542338"
"106";"1";"2542949"
"65";"1";"2573056"
"108";"1";"2602786"
"165";"1";"2642185"
"222";"1";"2701204"
"196";"2";"28110"
"212";"2";"130848"
"204";"2";"260574"
"187";"2";"260739"
"120";"2";"266901"
"131";"2";"271838"
"170";"2";"271860"
"171";"2";"271868"
"202";"2";"271869"
"186";"2";"276218"
"169";"2";"277365"
"213";"2";"280374"
"94";"2";"280518"
"189";"2";"284782"
"119";"2";"389540"
"139";"2";"455424"
"176";"2";"455970"
"175";"2";"456008"
"195";"2";"466650"
"147";"2";"542609"
"148";"2";"688589"
"129";"2";"746104"
"123";"2";"778648"
"183";"2";"813750"
"122";"2";"820418"
"174";"2";"874023"
"166";"2";"958679"
"172";"2";"964561"
"184";"2";"1083544"
"134";"2";"1128790"
"113";"2";"1134112"
"153";"2";"1311010"
"126";"2";"1336741"
"220";"2";"1471239"
"224";"2";"1471275"
"201";"2";"1473485"
"178";"2";"1473493"
"133";"2";"1489797"
"217";"2";"1538054"
"125";"2";"1603584"
"137";"2";"1764282"
"124";"2";"1785013"
"136";"2";"1810418"
"180";"2";"1840496"
"182";"2";"1841946"
"206";"2";"1841957"
"127";"2";"1893851"
"214";"2";"2012032"
"188";"2";"2038847"
"203";"2";"2128216"
"135";"2";"2168148"
"205";"2";"2196747"
"200";"2";"2209020"
"78";"2";"2349875"
"128";"2";"2358318"
"211";"2";"2446578"
"158";"2";"2497057"
"132";"2";"2533980"
"218";"2";"2679598"
"219";"2";"2680584"
"198";"2";"2692152"
